fall,winter,spring,summer,,,,,,
526,254,656,536,,,,,,
481,330,605,430,,,,,,
569,444,587,265,,,,,,
924,784,542,564,,,,,,
1704,676,425,741,,,,,,
1373,383,261,666,,,,,,
827,228,167,549,,,,,,
641,139,141,371,,,,,,
298,76,106,228,,,,,,
302,54,54,107,,,,,,
284,29,23,43,,,,,,
71,16,9,20,,,,,,
30,5,4,16,,,,,,
12,2,4,3,,,,,,
14,5,5,12,,,,,,
11,74,63,134,,,,,,
90,191,225,444,,,,,,
299,469,583,1090,,,,,,
978,786,921,1243,,,,,,
1377,400,465,549,,,,,,
610,184,271,424,,,,,,
376,242,322,546,,,,,,
441,268,463,596,,,,,,
572,251,463,569,,,,,,
560,247,433,490,,,,,,
523,288,528,599,,,,,,
605,436,693,984,,,,,,
983,734,1307,1736,,,,,,
1732,609,1058,1506,,,,,,
1430,344,593,1030,,,,,,
827,230,385,778,,,,,,
589,167,250,624,,,,,,
408,83,162,365,,,,,,
307,46,73,176,,,,,,
175,19,27,82,,,,,,
100,3,10,28,,,,,,
42,3,7,11,,,,,,
21,3,1,5,,,,,,
9,10,6,18,,,,,,
16,63,72,137,,,,,,
87,167,296,433,,,,,,
294,471,698,1000,,,,,,
819,775,1172,1349,,,,,,
1313,457,543,585,,,,,,
626,227,297,440,,,,,,
434,258,299,486,,,,,,
554,339,378,586,,,,,,
670,319,435,591,,,,,,
682,319,436,551,,,,,,
180,359,574,566,,,,,,
364,516,836,967,,,,,,
781,796,1428,1701,,,,,,
1325,586,1249,1482,,,,,,
903,399,699,1007,,,,,,
538,190,489,832,,,,,,
271,141,350,578,,,,,,
220,107,217,363,,,,,,
185,60,93,212,,,,,,
151,30,39,101,,,,,,
121,11,13,29,,,,,,
68,8,6,25,,,,,,
34,4,3,14,,,,,,
19,3,11,15,,,,,,
8,45,67,114,,,,,,
13,157,280,440,,,,,,
34,413,646,956,,,,,,
118,693,1017,1274,,,,,,
298,448,488,626,,,,,,
506,233,239,392,,,,,,
665,309,282,474,,,,,,
749,379,336,615,,,,,,
809,440,321,579,,,,,,
807,372,290,573,,,,,,
